iter	Logloss
0	0.6896725772
1	0.6836959325
2	0.680076642
3	0.6746137383
4	0.6698224357
5	0.6646848529
6	0.6581636493
7	0.6523196188
8	0.6466237615
9	0.6419765601
10	0.63658605
11	0.6315233466
12	0.6262742375
13	0.6214949361
14	0.6168132311
15	0.6117856315
16	0.6068927893
17	0.6027086665
18	0.5977712053
19	0.5934525393
20	0.588773706
21	0.5846015844
22	0.5804707816
23	0.5763177336
24	0.5724799338
25	0.5681706546
26	0.5656239799
27	0.5622273563
28	0.5594291687
29	0.5554963873
30	0.5521029783
31	0.5493205638
32	0.5467042387
33	0.5445672367
34	0.5411577975
35	0.5392303467
36	0.5363063598
37	0.5334162766
38	0.5309381378
39	0.528001421
40	0.5249992113
41	0.5216793103
42	0.5187397646
43	0.516323904
44	0.5133659277
45	0.510708541
46	0.5077046169
47	0.5056322934
48	0.5027077921
49	0.5008586926
50	0.498138642
51	0.4970147636
52	0.4942761968
53	0.4926422633
54	0.4904125085
55	0.4882688201
56	0.4866791629
57	0.4842843045
58	0.4819914571
59	0.4797034103
60	0.47833642
61	0.4767273892
62	0.4748390283
63	0.4735124138
64	0.4718893673
65	0.4699630737
66	0.4680128205
67	0.466042165
68	0.4639952585
69	0.4632686658
70	0.4621305573
71	0.4608778364
72	0.4589999338
73	0.4573954036
74	0.4562691678
75	0.4550410924
76	0.4541291226
77	0.4525717403
78	0.4509241768
79	0.4495329268
80	0.4476557528
81	0.4461363889
82	0.4444225183
83	0.4432439483
84	0.4419883557
85	0.4406564262
86	0.439655904
87	0.4386390943
88	0.4378779979
89	0.4362886836
90	0.4348000944
91	0.4337477095
92	0.4332986896
93	0.4324065648
94	0.4310429605
95	0.4300255936
96	0.4288175776
97	0.4275417542
98	0.4263066924
99	0.425283282
100	0.4240948109
101	0.4230963461
102	0.4219627809
103	0.4210564688
104	0.4207156749
105	0.4195304613
106	0.4193707584
107	0.4182000321
108	0.4172004957
109	0.4160148535
110	0.4149763986
111	0.4141312503
112	0.4136290818
113	0.4126331458
114	0.4119017526
115	0.4111603298
116	0.410215785
117	0.4093516489
118	0.4086713898
119	0.408305436
120	0.4072266054
121	0.4067215652
122	0.4061718201
123	0.4053669619
124	0.4045316289
125	0.4037341857
126	0.4032714929
127	0.4026450254
128	0.4018904868
129	0.4010632547
130	0.4003112879
131	0.3996072833
132	0.3994232778
133	0.3990801693
134	0.3983539624
135	0.3976097964
136	0.3971237011
137	0.3965196074
138	0.3962812531
139	0.3954367477
140	0.3948713153
141	0.3944799016
142	0.3939157979
143	0.3932952452
144	0.3926174292
145	0.3920567973
146	0.3916491391
147	0.3911123383
148	0.3905247035
149	0.3902442161
150	0.39005571
151	0.3893950387
152	0.3887347961
153	0.3881034851
154	0.3876708384
155	0.3871911295
156	0.3866163532
157	0.3864962117
158	0.3856700511
159	0.3852001576
160	0.384783284
161	0.3844857377
162	0.3839097612
163	0.3832994954
164	0.3828124143
165	0.3824351021
166	0.3822758707
167	0.3818021196
168	0.3813347977
169	0.3812305579
170	0.3807601929
171	0.3804214135
172	0.3799966962
173	0.3794995426
174	0.3791526194
175	0.3786090894
176	0.3779480752
177	0.3775714489
178	0.3770610509
179	0.3766820243
180	0.3765979724
181	0.3759862493
182	0.375933915
183	0.3755055117
184	0.3751015395
185	0.3750258885
186	0.3745133475
187	0.3742131008
188	0.3738142721
189	0.3733701384
190	0.3729190612
191	0.3725743669
192	0.3723581721
193	0.3722348588
194	0.3720951723
195	0.3718156707
196	0.3714128987
197	0.3712800272
198	0.3708618678
199	0.3705414761
200	0.3701666928
201	0.3698171551
202	0.3695109078
203	0.3692532657
204	0.3689185153
205	0.3685541046
206	0.3681458034
207	0.3676896685
208	0.3673343444
209	0.3669427593
210	0.3667243786
211	0.3663275644
212	0.3660123589
213	0.365590942
214	0.3652941672
215	0.3650122653
216	0.3646038355
217	0.3643291773
218	0.3640848653
219	0.3640392175
220	0.3635425353
221	0.3632224437
222	0.3630682699
223	0.3626329658
224	0.3622674406
225	0.3619146883
226	0.361585467
227	0.3613737299
228	0.3608528737
229	0.3605528414
230	0.36024938
231	0.3601506265
232	0.3599449758
233	0.3597999744
234	0.3595487187
235	0.3594059033
236	0.3593760501
237	0.3591599197
238	0.3588357347
239	0.3585624266
240	0.3583190146
241	0.3580545361
242	0.3577056199
243	0.3574722376
244	0.3572120881
245	0.3571553177
246	0.3567062549
247	0.3564539063
248	0.3561842629
249	0.3561433514
250	0.3559159268
251	0.3554302816
252	0.3552501336
253	0.3550205659
254	0.3549533801
255	0.3547215837
256	0.3544930876
257	0.3542621913
258	0.3540998523
259	0.3537796963
260	0.3536556973
261	0.3534591975
262	0.3530664551
263	0.352849296
264	0.3526833352
265	0.3523514565
266	0.3519892318
267	0.3517639503
268	0.3515991254
269	0.3515571423
270	0.3515053653
271	0.3513367899
272	0.3512537453
273	0.3509885809
274	0.3506903916
275	0.3504463796
276	0.350201596
277	0.3499972097
278	0.3498866049
279	0.3496521939
280	0.349345668
281	0.3492725244
282	0.3489597406
283	0.3489435174
284	0.3487581189
285	0.348561019
286	0.3485058559
287	0.3482730737
288	0.3480949402
289	0.3478822387
290	0.3478675371
291	0.3477734984
292	0.3476303615
293	0.3472986114
294	0.3471378369
295	0.3471003329
296	0.3469508953
297	0.3468860669
298	0.3467707688
299	0.3465733046
300	0.3462784585
301	0.3459023251
302	0.3456952384
303	0.3454327744
304	0.3453202623
305	0.3451435003
306	0.3450164581
307	0.3448668491
308	0.3445153611
309	0.3443705098
310	0.3441439425
311	0.3439010877
312	0.3437126674
313	0.3436359877
314	0.3435558362
315	0.3434612403
316	0.3432888074
317	0.3428846424
318	0.3428499243
319	0.3425758662
320	0.3424754411
321	0.3424658186
322	0.3423446055
323	0.3421890387
324	0.342012684
325	0.3419103087
326	0.3416985501
327	0.3415083724
328	0.3413633711
329	0.3411047218
330	0.341059524
331	0.3407937382
332	0.3405332244
333	0.340365442
334	0.3402409714
335	0.3400599019
336	0.34001554
337	0.339904378
338	0.3398010597
339	0.3396924908
340	0.339502356
341	0.339311364
342	0.3391352879
343	0.3388483283
344	0.338722079
345	0.3385312155
346	0.3381794704
347	0.3379002689
348	0.3377708264
349	0.3375071193
350	0.3374245247
351	0.3373395941
352	0.3372064012
353	0.3370624499
354	0.3369175129
355	0.3369094334
356	0.3368913458
357	0.3368829877
358	0.3368770728
359	0.336656549
360	0.3365669465
361	0.3363321283
362	0.3361653103
363	0.3359222198
364	0.3358216661
365	0.3357160332
366	0.3355986777
367	0.3355489581
368	0.3354304024
369	0.3352704423
370	0.3351488221
371	0.3349864188
372	0.334887751
373	0.3346411673
374	0.3345203185
375	0.334217843
376	0.3339346339
377	0.3338233005
378	0.3335947187
379	0.3334899645
380	0.3331718016
381	0.3330177993
382	0.3329102377
383	0.3327424553
384	0.332505644
385	0.3324078978
386	0.3322778552
387	0.3321974251
388	0.3320076975
389	0.3318746331
390	0.3317609208
391	0.3316440582
392	0.3316370718
393	0.3313969816
394	0.3312758328
395	0.3310604738
396	0.3309299598
397	0.3307406608
398	0.3307179012
399	0.3305951236
400	0.3303156221
401	0.3301700635
402	0.3300084103
403	0.3297770211
404	0.3296839253
405	0.3295925012
406	0.3294475213
407	0.329430398
408	0.3293449959
409	0.3293216577
410	0.3292501428
411	0.3291846929
412	0.3290971692
413	0.328804359
414	0.3286666441
415	0.3285806849
416	0.3284938684
417	0.3283253359
418	0.3281474596
419	0.3278944037
420	0.327825332
421	0.3278222459
422	0.327640662
423	0.3275027757
424	0.3274098943
425	0.3271607388
426	0.3270519771
427	0.326963489
428	0.3268689573
429	0.3267927277
430	0.3265950921
431	0.3265547592
432	0.3264680498
433	0.3263833764
434	0.3263135546
435	0.3261677603
436	0.3261396858
437	0.3260733787
438	0.3258465971
439	0.3256452968
440	0.3255412284
441	0.3253170185
442	0.3252938517
443	0.3252523829
444	0.3251446285
445	0.3249424066
446	0.3249381419
447	0.3248998663
448	0.3247398205
449	0.3246100351
450	0.3245098671
451	0.3243172678
452	0.3242525465
453	0.3241265115
454	0.324056904
455	0.3238587754
456	0.3236218142
457	0.3234194638
458	0.32335845
459	0.323258475
460	0.3231732015
461	0.3230469093
462	0.3229602428
463	0.3227416264
464	0.3225596353
465	0.3224102835
466	0.322287013
467	0.3222080188
468	0.3221244598
469	0.3220452298
470	0.3219261169
471	0.3219067863
472	0.3216391788
473	0.3215270739
474	0.3213436684
475	0.3212203551
476	0.321082726
477	0.3209011206
478	0.3207835294
479	0.3206242765
480	0.320555119
481	0.3204388565
482	0.3203373598
483	0.3202252763
484	0.3201136214
485	0.3199957087
486	0.3198656661
487	0.3197051916
488	0.3196507143
489	0.3194976978
490	0.3194482353
491	0.3193980442
492	0.319184614
493	0.3190551929
494	0.3189398305
495	0.318722157
496	0.3186915108
497	0.3186237892
498	0.3184840384
499	0.3183602322
500	0.3181825916
501	0.3180870528
502	0.3179034758
503	0.3178551492
504	0.3176585422
505	0.3176306178
506	0.3175346717
507	0.3175012396
508	0.3174764012
509	0.3173032611
510	0.317069643
511	0.3170463048
512	0.3169647603
513	0.3167315922
514	0.3166070788
515	0.3164997101
516	0.3163502725
517	0.3162044997
518	0.3160707709
519	0.3160138934
520	0.3158376458
521	0.3157609661
522	0.3155727172
