iter	Passed	Remaining
0	142	142016
1	150	74882
2	151	50402
3	154	38406
4	155	31027
5	160	26537
6	165	23492
7	168	20852
8	170	18808
9	174	17273
10	177	15997
11	193	15956
12	197	14979
13	200	14096
14	202	13324
15	206	12670
16	208	12042
17	211	11514
18	215	11128
19	218	10708
20	224	10452
21	227	10092
22	232	9881
23	234	9543
24	237	9261
25	240	9000
26	242	8729
27	248	8610
28	250	8387
29	252	8177
30	259	8106
31	262	7931
32	264	7744
33	266	7563
34	269	7427
35	279	7471
36	282	7358
37	289	7328
38	295	7287
39	298	7156
40	313	7321
41	339	7743
42	342	7617
43	344	7491
44	347	7368
45	350	7271
46	354	7181
47	356	7078
48	384	7457
49	399	7592
50	408	7599
51	410	7475
52	413	7379
53	414	7268
54	417	7173
55	424	7153
56	426	7062
57	429	6979
58	432	6902
59	492	7708
60	496	7638
61	501	7592
62	504	7506
63	506	7404
64	510	7342
65	565	8009
66	568	7919
67	571	7830
68	574	7750
69	577	7669
70	580	7602
71	584	7528
72	586	7450
73	589	7379
74	591	7293
75	594	7225
76	597	7162
77	654	7739
78	657	7668
79	660	7596
80	664	7541
81	670	7502
82	674	7455
83	678	7396
84	681	7331
85	684	7270
86	687	7213
87	782	8113
88	787	8056
89	789	7986
90	792	7918
91	795	7855
92	797	7780
93	800	7712
94	802	7648
95	805	7584
96	807	7521
97	810	7458
98	814	7416
99	967	8707
100	974	8676
101	978	8613
102	981	8547
103	983	8474
104	984	8394
105	987	8328
106	989	8262
107	992	8201
108	996	8142
109	998	8081
110	1078	8634
111	1337	10602
112	1340	10519
113	1342	10434
114	1345	10351
115	1348	10274
116	1352	10210
117	1356	10138
118	1359	10063
119	1361	9980
120	1363	9906
121	1365	9827
122	1406	10027
123	1418	10020
124	1420	9945
125	1423	9873
126	1425	9797
127	1428	9730
128	1431	9664
129	1435	9609
130	1439	9546
131	1442	9484
132	1444	9413
133	1477	9547
134	1479	9480
135	1482	9417
136	1484	9350
137	1487	9291
138	1490	9232
139	1494	9182
140	1499	9137
141	1502	9076
142	1504	9019
143	1507	8963
144	1579	9311
145	1584	9265
146	1586	9206
147	1591	9161
148	1594	9108
149	1596	9046
150	1597	8983
151	1600	8927
152	1602	8872
153	1606	8825
154	1610	8777
155	1613	8727
156	1617	8682
157	1618	8624
158	1621	8575
159	1626	8538
160	1629	8491
161	1633	8450
162	1637	8406
163	1641	8369
164	1645	8327
165	1648	8280
166	1657	8269
167	1660	8222
168	1665	8191
169	1674	8173
170	1678	8135
171	1681	8093
172	1685	8058
173	1697	8056
174	1700	8015
175	1703	7973
176	1708	7942
177	1719	7942
178	1722	7900
179	1725	7861
180	1726	7814
181	1733	7792
182	1735	7747
183	1738	7708
184	1741	7670
185	1742	7626
186	1747	7597
187	1751	7564
188	1817	7799
189	1820	7762
190	1825	7733
191	1828	7696
192	1831	7659
193	1833	7618
194	1835	7576
195	1837	7536
196	1841	7506
197	1844	7471
198	1847	7438
199	1924	7699
200	1928	7667
201	1935	7645
202	1938	7609
203	1940	7572
204	1943	7538
205	1947	7505
206	1950	7471
207	1953	7437
208	1956	7403
209	1960	7375
210	1963	7342
211	1966	7309
212	1969	7277
213	1972	7244
214	1975	7211
215	1979	7185
216	1983	7155
217	1985	7123
218	1989	7094
219	1991	7060
220	1994	7028
221	1996	6997
222	2000	6968
223	2004	6943
224	2008	6917
225	2011	6889
226	2015	6862
227	2017	6832
228	2020	6802
229	2023	6772
230	2080	6927
231	2084	6899
232	2087	6870
233	2090	6843
234	2097	6827
235	2100	6799
236	2102	6768
237	2105	6740
238	2109	6717
239	2112	6688
240	2271	7154
241	2275	7127
242	2278	7099
243	2281	7068
244	2284	7039
245	2286	7008
246	2289	6980
247	2292	6951
248	2295	6924
249	2297	6893
250	2302	6870
251	2375	7051
252	2386	7046
253	2390	7020
254	2393	6991
255	2396	6964
256	2400	6939
257	2403	6912
258	2406	6884
259	2408	6856
260	2413	6833
261	2416	6807
262	2451	6869
263	2455	6845
264	2459	6820
265	2461	6793
266	2464	6767
267	2467	6740
268	2470	6712
269	2475	6692
270	2477	6663
271	2479	6636
272	2482	6611
273	2544	6741
274	2546	6714
275	2550	6689
276	2554	6668
277	2557	6643
278	2560	6617
279	2563	6591
280	2565	6564
281	2567	6537
282	2571	6514
283	2572	6486
284	2594	6508
285	2599	6490
286	2601	6463
287	2608	6449
288	2612	6427
289	2617	6409
290	2619	6381
291	2621	6356
292	2624	6333
293	2629	6314
294	2631	6289
295	2633	6264
296	2683	6352
297	2689	6334
298	2694	6317
299	2699	6298
300	2701	6274
301	2710	6263
302	2713	6241
303	2716	6219
304	2719	6196
305	2723	6175
306	2749	6207
307	2752	6184
308	2756	6164
309	2760	6145
310	2766	6127
311	2769	6106
312	2771	6083
313	2773	6060
314	2779	6043
315	2781	6019
316	2783	5997
317	2829	6068
318	2838	6058
319	2842	6041
320	2847	6023
321	2849	5998
322	2852	5978
323	2854	5956
324	2858	5937
325	2861	5916
326	2865	5897
327	2868	5876
328	2916	5947
329	2918	5926
330	2921	5904
331	2924	5883
332	2930	5869
333	2935	5853
334	2938	5832
335	2940	5811
336	2942	5788
337	2945	5769
338	2947	5747
339	2999	5822
340	3002	5803
341	3005	5782
342	3009	5764
343	3012	5744
344	3016	5726
345	3019	5707
346	3022	5687
347	3024	5667
348	3027	5647
349	3030	5627
350	3122	5773
351	3126	5755
352	3128	5734
353	3131	5713
354	3135	5696
355	3136	5673
356	3138	5652
357	3139	5630
358	3140	5607
359	3145	5591
360	3149	5574
361	3153	5557
362	3245	5695
363	3248	5675
364	3251	5656
365	3254	5636
366	3256	5616
367	3258	5596
368	3262	5578
369	3264	5559
370	3268	5540
371	3272	5524
372	3345	5623
373	3347	5603
374	3350	5584
375	3353	5565
376	3356	5546
377	3359	5527
378	3362	5509
379	3367	5494
380	3370	5475
381	3373	5457
382	3376	5438
383	3437	5515
384	3440	5496
385	3443	5477
386	3447	5460
387	3451	5444
388	3455	5427
389	3459	5411
390	3462	5393
391	3465	5375
392	3467	5355
393	3531	5431
394	3534	5413
395	3537	5396
396	3541	5379
397	3544	5362
398	3549	5347
399	3555	5333
400	3558	5315
401	3561	5298
402	3564	5280
403	3567	5262
404	3579	5259
405	3582	5240
406	3584	5223
407	3586	5203
408	3589	5186
409	3594	5172
410	3596	5153
411	3598	5135
412	3602	5119
413	3606	5104
414	3609	5087
415	3625	5089
416	3628	5072
417	3631	5056
418	3635	5041
419	3639	5026
420	3642	5009
421	3643	4990
422	3648	4976
423	3651	4960
424	3654	4943
425	3657	4927
426	3714	4984
427	3717	4967
428	3721	4953
429	3729	4943
430	3734	4929
431	3736	4912
432	3739	4896
433	3742	4881
434	3745	4864
435	3748	4848
436	3749	4831
437	3892	4994
438	3895	4977
439	3898	4961
440	3903	4947
441	3906	4931
442	3979	5003
443	3982	4986
444	3986	4971
445	3990	4956
446	3992	4938
447	3994	4921
448	3997	4905
449	4000	4889
450	4002	4872
451	4005	4856
452	4008	4840
453	4087	4915
454	4089	4898
455	4094	4884
456	4097	4868
457	4100	4852
458	4103	4836
459	4105	4819
460	4111	4806
461	4113	4790
462	4116	4774
463	4118	4757
464	4144	4768
465	4147	4752
466	4149	4736
467	4153	4721
468	4156	4705
469	4158	4689
470	4162	4674
471	4163	4657
472	4167	4643
473	4172	4629
474	4174	4614
475	4271	4702
476	4274	4686
477	4277	4670
478	4282	4657
479	4284	4641
480	4287	4625
481	4289	4610
482	4296	4598
483	4299	4583
484	4302	4568
485	4304	4552
486	4433	4669
487	4451	4669
488	4456	4657
489	4459	4641
490	4461	4625
491	4464	4609
492	4468	4595
493	4471	4580
494	4474	4564
495	4478	4550
496	4573	4628
497	4625	4662
498	4628	4647
499	4631	4631
500	4634	4615
501	4637	4600
502	4641	4585
503	4643	4570
504	4646	4554
505	4649	4538
506	4653	4525
507	4794	4643
508	4797	4628
509	4802	4614
510	4805	4598
511	4808	4582
512	4812	4568
513	4816	4553
514	4819	4538
515	4822	4523
516	4825	4507
517	4827	4492
518	4935	4573
519	4938	4558
520	4941	4543
521	4947	4530
522	4950	4514
523	4952	4498
524	4955	4483
525	4957	4467
526	4960	4452
527	4963	4436
528	4965	4420
529	5053	4481
530	5056	4466
531	5061	4452
532	5066	4439
533	5069	4423
534	5072	4408
535	5077	4395
536	5079	4379
537	5083	4365
538	5085	4349
539	5215	4443
540	5218	4427
541	5221	4412
542	5224	4396
543	5225	4380
544	5228	4365
545	5232	4350
546	5234	4334
547	5236	4319
548	5239	4304
549	5241	4288
550	5243	4272
551	5406	4388
552	5409	4372
553	5412	4357
554	5414	4341
555	5418	4326
556	5422	4312
557	5425	4297
558	5428	4282
559	5430	4266
560	5432	4251
561	5435	4235
562	5548	4306
563	5550	4290
564	5554	4276
565	5557	4261
566	5629	4299
567	5632	4283
568	5635	4268
569	5637	4253
570	5640	4237
571	5642	4222
572	5645	4206
573	5646	4190
574	5649	4175
575	5652	4160
576	5655	4146
577	5657	4130
578	5788	4208
579	5795	4196
580	5798	4181
581	5801	4166
582	5805	4152
583	5811	4139
584	5813	4124
585	5816	4109
586	5819	4094
587	5821	4078
588	5974	4168
589	5976	4153
590	5980	4138
591	5982	4123
592	5985	4108
593	5989	4093
594	5992	4078
595	5995	4063
596	6002	4052
597	6005	4037
598	6009	4022
599	6115	4076
600	6117	4061
601	6120	4046
602	6122	4030
603	6130	4019
604	6134	4005
605	6139	3991
606	6142	3976
607	6144	3961
608	6147	3946
609	6149	3931
610	6247	3977
611	6250	3962
612	6252	3947
613	6255	3932
614	6258	3917
615	6263	3904
616	6266	3889
617	6269	3875
618	6272	3860
619	6275	3846
620	6277	3831
621	6366	3868
622	6373	3856
623	6375	3841
624	6378	3826
625	6380	3812
626	6385	3798
627	6387	3783
628	6390	3769
629	6393	3754
630	6397	3741
631	6461	3762
632	6464	3747
633	6467	3733
634	6470	3719
635	6473	3704
636	6478	3691
637	6482	3677
638	6484	3663
639	6488	3649
640	6492	3636
641	6495	3622
642	6574	3650
643	6577	3635
644	6579	3621
645	6582	3606
646	6584	3592
647	6587	3578
648	6590	3564
649	6594	3550
650	6603	3540
651	6606	3525
652	6608	3511
653	6611	3498
654	6614	3483
655	6617	3470
656	6618	3455
657	6626	3443
658	6628	3430
659	6631	3416
660	6634	3402
661	6637	3388
662	6640	3375
663	6642	3361
664	6645	3347
665	6686	3353
666	6689	3339
667	6694	3327
668	6701	3315
669	6704	3301
670	6707	3288
671	6711	3275
672	6713	3262
673	6716	3248
674	6719	3235
675	6722	3221
676	6724	3208
677	6727	3195
678	6730	3181
679	6732	3168
680	6735	3155
681	6738	3142
682	6743	3129
683	6746	3116
684	6749	3103
685	6752	3090
686	6756	3078
687	6895	3126
688	6902	3115
689	6903	3101
690	6908	3089
691	6911	3076
692	6914	3063
693	6917	3049
694	6919	3036
695	6924	3024
696	6927	3011
697	6930	2998
698	7071	3045
699	7074	3031
700	7078	3019
701	7082	3006
702	7086	2994
703	7088	2980
704	7091	2967
705	7093	2954
706	7096	2941
707	7101	2928
708	7105	2916
709	7108	2903
710	7293	2964
711	7296	2951
712	7299	2938
713	7302	2924
714	7304	2911
715	7308	2899
716	7310	2885
717	7313	2872
718	7315	2859
719	7318	2846
720	7321	2833
721	7420	2857
722	7423	2844
723	7425	2830
724	7429	2817
725	7431	2804
726	7434	2791
727	7438	2779
728	7441	2766
729	7444	2753
730	7447	2740
731	7450	2727
732	7452	2714
733	7454	2701
734	7464	2691
