iter	Passed	Remaining
0	142	142429
1	146	72988
2	148	49307
3	150	37464
4	152	30358
5	155	25733
6	158	22536
7	162	20184
8	165	18172
9	167	16618
10	169	15278
11	173	14294
12	176	13372
13	178	12549
14	180	11872
15	182	11242
16	185	10748
17	189	10334
18	195	10092
19	197	9686
20	199	9313
21	202	9009
22	205	8749
23	208	8474
24	210	8211
25	213	8013
26	217	7840
27	220	7638
28	221	7432
29	224	7253
30	226	7089
31	228	6926
32	231	6789
33	234	6652
34	239	6598
35	241	6472
36	244	6352
37	247	6258
38	251	6202
39	255	6129
40	257	6032
41	259	5929
42	263	5866
43	266	5782
44	269	5727
45	272	5643
46	274	5562
47	277	5494
48	278	5410
49	281	5345
50	285	5306
51	292	5334
52	295	5281
53	301	5276
54	303	5218
55	308	5206
56	313	5187
57	316	5147
58	325	5187
59	328	5140
60	330	5091
61	332	5035
62	335	4990
63	340	4977
64	343	4936
65	348	4936
66	350	4887
67	352	4837
68	355	4793
69	357	4753
70	363	4751
71	365	4709
72	367	4665
73	368	4616
74	373	4601
75	375	4563
76	379	4546
77	381	4511
78	383	4472
79	387	4450
80	389	4420
81	392	4389
82	394	4357
83	397	4335
84	399	4302
85	402	4281
86	405	4254
87	407	4224
88	411	4209
89	413	4184
90	417	4170
91	421	4161
92	426	4154
93	429	4137
94	431	4109
95	435	4103
96	437	4072
97	439	4043
98	441	4021
99	445	4005
100	450	4007
101	453	3993
102	455	3969
103	458	3948
104	460	3928
105	463	3913
106	468	3913
107	471	3894
108	475	3889
109	478	3872
110	482	3866
111	485	3847
112	487	3827
113	491	3818
114	494	3808
115	498	3798
116	503	3797
117	505	3776
118	509	3770
119	512	3755
120	518	3765
121	521	3749
122	524	3738
123	526	3722
124	529	3703
125	531	3686
126	533	3668
127	535	3650
128	540	3651
129	545	3650
130	547	3633
131	551	3623
132	554	3612
133	556	3598
134	562	3605
135	564	3589
136	568	3579
137	571	3567
138	575	3566
139	578	3550
140	580	3537
141	584	3529
142	588	3524
143	593	3529
144	596	3514
145	601	3519
146	604	3505
147	608	3505
148	612	3499
149	614	3484
150	617	3472
151	619	3455
152	621	3442
153	623	3427
154	625	3412
155	629	3404
156	633	3403
157	637	3396
158	639	3382
159	641	3368
160	647	3372
161	649	3360
162	654	3359
163	656	3345
164	658	3334
165	661	3322
166	663	3310
167	666	3301
168	669	3294
169	672	3280
170	675	3272
171	677	3261
172	681	3258
173	683	3243
174	685	3230
175	687	3218
176	690	3212
177	693	3202
178	694	3185
179	696	3174
180	698	3162
181	701	3151
182	703	3142
183	706	3132
184	710	3129
185	713	3123
186	718	3124
187	721	3115
188	724	3109
189	727	3101
190	729	3090
191	732	3081
192	734	3072
193	739	3071
194	741	3061
195	743	3051
196	745	3040
197	750	3040
198	752	3030
199	756	3027
200	759	3017
201	761	3007
202	764	3000
203	766	2992
204	769	2984
205	773	2980
206	776	2976
207	782	2979
208	790	2990
209	802	3017
210	822	3077
211	828	3080
212	832	3076
213	838	3080
214	844	3083
215	846	3071
216	850	3067
217	852	3058
218	862	3077
219	866	3070
220	873	3078
221	876	3071
222	880	3068
223	883	3059
224	885	3049
225	888	3043
226	891	3035
227	895	3033
228	898	3025
229	900	3015
230	904	3010
231	906	3000
232	911	2998
233	915	2996
234	919	2994
235	922	2985
236	924	2977
237	928	2972
238	930	2962
239	933	2956
240	936	2950
241	942	2952
242	944	2943
243	947	2935
244	950	2929
245	955	2930
246	959	2924
247	961	2915
248	963	2906
249	966	2900
250	969	2891
251	973	2890
252	976	2882
253	979	2876
254	982	2869
255	985	2864
256	989	2860
257	992	2853
258	994	2844
259	998	2842
260	1002	2838
261	1006	2835
262	1008	2827
263	1012	2821
264	1014	2812
265	1016	2805
266	1020	2802
267	1022	2793
268	1024	2784
269	1027	2777
270	1029	2770
271	1031	2762
272	1034	2754
273	1038	2750
274	1041	2746
275	1047	2746
276	1051	2744
277	1054	2738
278	1057	2732
279	1059	2723
280	1061	2715
281	1064	2709
282	1067	2705
283	1071	2700
284	1074	2695
285	1076	2687
286	1078	2679
287	1081	2674
288	1085	2670
289	1089	2667
290	1093	2663
291	1097	2660
292	1100	2655
293	1105	2653
294	1147	2742
295	1149	2735
296	1153	2730
297	1158	2728
298	1162	2725
299	1169	2727
300	1175	2730
301	1180	2727
302	1183	2721
303	1185	2714
304	1192	2717
305	1195	2711
306	1197	2702
307	1199	2695
308	1203	2692
309	1208	2689
310	1211	2684
311	1214	2677
312	1216	2669
313	1222	2669
314	1225	2664
315	1228	2659
316	1230	2650
317	1232	2644
318	1239	2646
319	1242	2639
320	1246	2635
321	1248	2628
322	1250	2620
323	1259	2628
324	1262	2622
325	1265	2615
326	1267	2608
327	1273	2608
328	1275	2602
329	1279	2597
330	1281	2590
331	1283	2582
332	1288	2580
333	1291	2575
334	1294	2569
335	1296	2562
336	1298	2555
337	1301	2548
338	1303	2541
339	1305	2535
340	1309	2530
341	1311	2522
342	1313	2515
343	1317	2512
344	1319	2505
345	1322	2499
346	1324	2492
347	1326	2485
348	1330	2481
349	1333	2476
350	1335	2470
351	1338	2464
352	1340	2457
353	1342	2450
354	1348	2450
355	1351	2444
356	1355	2441
357	1357	2434
358	1359	2427
359	1365	2427
360	1368	2421
361	1371	2416
362	1373	2409
363	1375	2402
364	1378	2397
365	1380	2391
366	1382	2385
367	1384	2378
368	1387	2372
369	1389	2366
370	1394	2364
371	1397	2358
372	1400	2354
373	1403	2349
374	1405	2342
375	1408	2338
376	1412	2333
377	1415	2328
378	1416	2321
379	1419	2315
380	1421	2308
381	1424	2304
382	1427	2300
383	1429	2293
384	1431	2287
385	1434	2282
386	1440	2281
387	1442	2275
388	1446	2272
389	1448	2266
390	1450	2259
391	1453	2254
392	1456	2249
393	1458	2244
394	1462	2239
395	1464	2233
396	1466	2226
397	1472	2226
398	1476	2223
399	1478	2217
400	1480	2210
401	1482	2204
402	1487	2203
403	1490	2198
404	1493	2194
405	1504	2201
406	1508	2197
407	1512	2194
408	1515	2189
409	1519	2185
410	1522	2181
411	1525	2176
412	1527	2171
413	1530	2165
414	1533	2161
415	1536	2157
416	1538	2151
417	1546	2152
418	1548	2146
419	1555	2148
420	1559	2145
421	1564	2143
422	1568	2139
423	1570	2133
424	1573	2128
425	1579	2128
426	1582	2123
427	1585	2118
428	1588	2114
429	1590	2108
430	1595	2106
431	1597	2100
432	1602	2098
433	1604	2092
434	1606	2087
435	1611	2085
436	1613	2079
437	1616	2074
438	1618	2068
439	1620	2063
440	1627	2063
441	1630	2059
442	1632	2053
443	1635	2047
444	1639	2044
445	1642	2039
446	1644	2034
447	1647	2029
448	1650	2025
449	1652	2019
450	1657	2018
451	1660	2013
452	1663	2008
453	1665	2002
454	1667	1997
455	1672	1995
456	1676	1991
457	1679	1986
458	1681	1982
459	1683	1976
460	1686	1971
461	1688	1965
462	1690	1960
463	1693	1955
464	1696	1951
465	1699	1947
466	1702	1942
467	1704	1938
468	1706	1932
469	1708	1927
